Godina,Prosjek
2026,9.29
2027,9.3
2028,9.29
2029,9.3
2030,9.29
2031,9.3
2032,9.28
2033,9.29
2034,9.29
2035,9.3
2036,9.26
2037,9.26
2038,9.27
2039,9.26
2040,9.26
2041,9.26
2042,9.26
2043,9.26
2044,9.26
2045,9.27
