Godina,Prosjek
2026,11.31
2027,11.37
2028,11.45
2029,11.60
2030,11.60
2031,11.67
2032,11.76
2033,11.80
2034,11.80
2035,11.61
2036,11.66
2037,11.70
2038,11.75
2039,11.75
2040,11.77
2041,11.77
2042,11.77
2043,11.77
2044,11.76
2045,11.78
